"Notes"	"County"	"County Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	"Age Group"	"Age Group Code"	Deaths	Population	Crude Rate
	"San Diego County, CA"	"06073"	"Male"	"M"	"1989"	"1989"	"35-44 years"	"35-44"	527	183912	286.6
	"San Diego County, CA"	"06073"	"Male"	"M"	"1989"	"1989"	"45-54 years"	"45-54"	511	104007	491.3
	"San Diego County, CA"	"06073"	"Male"	"M"	"1989"	"1989"	"55-64 years"	"55-64"	1109	82831	1338.9
	"San Diego County, CA"	"06073"	"Male"	"M"	"1989"	"1989"	"65-74 years"	"65-74"	2028	71674	2829.5
	"San Diego County, CA"	"06073"	"Male"	"M"	"1989"	"1989"	"75-84 years"	"75-84"	2217	32922	6734.1
	"San Diego County, CA"	"06073"	"Male"	"M"	"1989"	"1989"	"85+ years"	"85+"	1265	7185	17606.1
"Total"	"San Diego County, CA"	"06073"	"Male"	"M"	"1989"	"1989"			8425	985537	854.9
	"San Diego County, CA"	"06073"	"Male"	"M"	"1990"	"1990"	"15-19 years"	"15-19"	82	96733	84.8
	"San Diego County, CA"	"06073"	"Male"	"M"	"1990"	"1990"	"20-24 years"	"20-24"	167	146451	114.0
	"San Diego County, CA"	"06073"	"Male"	"M"	"1990"	"1990"	"25-34 years"	"25-34"	525	264978	198.1
	"San Diego County, CA"	"06073"	"Male"	"M"	"1990"	"1990"	"35-44 years"	"35-44"	585	191120	306.1
	"San Diego County, CA"	"06073"	"Male"	"M"	"1990"	"1990"	"45-54 years"	"45-54"	567	107345	528.2
	"San Diego County, CA"	"06073"	"Male"	"M"	"1990"	"1990"	"55-64 years"	"55-64"	1091	83041	1313.8
	"San Diego County, CA"	"06073"	"Male"	"M"	"1990"	"1990"	"65-74 years"	"65-74"	2088	72783	2868.8
	"San Diego County, CA"	"06073"	"Male"	"M"	"1990"	"1990"	"75-84 years"	"75-84"	2295	33773	6795.4
	"San Diego County, CA"	"06073"	"Male"	"M"	"1990"	"1990"	"85+ years"	"85+"	1290	7352	17546.2
"Total"	"San Diego County, CA"	"06073"	"Male"	"M"	"1990"	"1990"			8690	1003576	865.9
	"San Diego County, CA"	"06073"	"Male"	"M"	"1991"	"1991"	"15-19 years"	"15-19"	111	91323	121.5
